????abandon,/ ?’b?nd?n/                                             ,vt.丢弃；放弃，抛弃
　　Christmas,/ ‘krism?s/                                             ,n.圣诞节
　　church,/ t??:t?/                                             ,n.教堂，礼拜堂；教会
　　cigarette,/ sig?’ret/                                             ,n.香烟，纸烟，卷烟
　　cinema,/ ‘sinim?/                                             ,n.电影院；电影，影片
　　circle,/ ‘s?:kl/                                             ,n.圆，圆周；圈子
　　circuit,/ ‘s?:kit/                                             ,n.电路；环行；巡行
　　circular,/ ‘s?:kjul?/                                             ,a.圆的；循环的
　　circulate,/ ‘s?:kjuleit/                                             ,vt.使循环 vi.循环
　　circumference,/ s?’kΛmf?r?ns/                                             ,n.圆周，周长，圆周线
　　circumstance,/ ‘s?:k?mst?ns/                                             ,n.情况，条件；境遇
　　citizen,/ ‘sitizn/                                             ,n.公民；市民，居民
　　city,/ ‘siti/                                             ,n.城市，都市
　　civil,/ ‘sivl/                                             ,a.公民的；文职的
　　civilization,/ sivilai’zei??n/                                             ,n.文明，文化；开化
　　civilize,/ ‘sivilaiz/                                             ,vt.使文明；教育
　　claim,/ kleim/                                             ,vt.声称，主张；索取
　　clap,/ kl?p/                                             ,vi.拍手 vt.拍，轻拍
　　clarify,/ ‘kl?rifai/                                             ,vt.澄清，阐明
　　class,/ kla:s/                                             ,n.班，班级；阶级
　　classical,/ ‘kl?sik?l/                                             ,a.古典的；经典的
　　classificatio,n/                                             ,kl?sifi’kei??n/                                                                                               n.分类；分级；分类法
　　classify,/ ‘kl?sifai/                                             ,vt.把…分类
　　classmate,/ ‘kla:smeit/                                             ,n.同班同学
　　classroom,/ ‘kla:srum/                                             ,n.教室，课堂
　　claw,/ kl?:/                                             ,n.爪，脚爪，螯
　　clay,/ klei/                                             ,n.粘土，泥土；肉体
　　clean,/ kli:n/                                             ,a.清洁的；纯洁的
　　clear,/ kli?/                                             ,a.清晰的 vt.清除
　　clerk,"/ kla:k, kl?:k/                                             ",n.店员；办事员，职员
　　clever,/ ‘klev?/                                             ,a.聪明的；机敏的
　　cliff,/ klif/                                             ,n.悬崖，峭壁
　　climate,/ ‘klaimit/                                             ,n.气候；风土，地带
　　climb,/ klaim/                                             ,vi.攀登，爬 vt.爬
　　clock,/ kl?k/                                             ,n.钟，仪表
　　close,"/ kl?uz, kl?us/                                             ",vt.关，闭；结束
　　cloth,/ kl?:θ/                                             ,n.布；衣料；桌布
　　clothe,/ kl?ue/                                             ,vt.给…穿衣服
　　clothes,/ kl?uez/                                             ,n.衣服，服装；被褥
　　clothing,/ ‘kl?uei?/                                             ,n.衣服，被褥
　　cloud,/ klaud/                                             ,n.云；云状物；阴影
