单词,释义
cream,n.奶油，乳脂；面霜；奶油色
unity,n. 统一，团结，整体
princess,n.公主，王妿
complaint,n. 抱怨，怨言，投诿
liquid,n. 液体 adj. 液体皿
bone,n. 骨头
profile,n.侧面像；外形 v. 为…描绿轮廓筿
realistic,adj.现实(主义)的；逼真的，栩栩如生皿
symbol,n.象征；符号；记号；标忿
brick,n. 砿
continent,n. 大陆，陆圿 adj.克制的，禁欲皿
solve,v.解答，解释，解决
concert,n. 音乐会；合奏
rob,v.抢劫，盗取，非法剥夺
label,n.标签，标记，符号 v.贴标签于...，把...称为
foster,adj. 收养的，收养孩子皿 v. 养育，培养，促进
pond,n. 池塘
tragedy,n. 悲剧
taxi,n.出租汽车 v.乘坐出租汽车
broadcast,v.播放，广播，播音 n.广播(节目)
sigh,v./n.叹息，叹氿
indoors,adv.在室内，在屋釿
auxiliary,adj.辅助的，协助皿
court,"n. 法院，庭院，球场 v. 献殷勿 招致危险, 追求"
simplicity,n. 简单；简昿
teenager,n.(13-19岁的)少年
astonish,v.使惊讶，使吃惿
rude,adj. 粗鲁的，无礼的，猛烈皿
eternal,adj.永恒的，永不改变皿
feather,n. 羽毛
fork,n.叉，耙，叉形物，餐叉
disagree,v.意见不同，不一臿
lightning,n.闪电，闪电放甿 adj.闪电般的，快速的
bicycle,n.自行车，脚踏轿
nut,n. 坚果
dislike,v.不喜欢，厌恶 n.不喜欢，厌恶
handy,adj. 便利的，灵巧的，伸手可及皿
poison,n.毒物，毒荿 v.放毒，毒宿
headline,n.大字标题
fairy,n. 小精灵，小仙孿
lazy,adj.懒惰的，懒散皿
thickness,n.县庿；密(庿
nephew,n.侄子，外甿
thief,n.小偷，贼
prosperous,adj.繁荣的，昌盛的，富足皿
enlarge,v.扩大，扩展，放大
sailor,n.水手，海呿
hopeless,adj.没有希望的，绝望皿
mug,n. (有柄)大杯，嘴脿 v. 对…行抢劫
philosopher,n. 哲学宿
freeze,v. 冻结 v.使结冿
apology,n. 道歉，认锿
selfish,adj.自私的，利己皿
undergraduate,n. (本科)学生
melt,v. 融化；溶匿
onion,n.洋葱，洋葱头
housewife,n.家庭主妇
acquaintance,n.认识；熟人；了解
chimney,n. 烟囱
pioneer,n.先锋，开拓者，先驱 v.开辟，首倿
confess,v.供认，承认，坦白，忏悿
crane,n.起重机，鹿 v.伸长(脖子)以便看得更清楿
dental,adj. 牙齿的，牙科皿
dusk,n.薄暮，黄昿
reproduce,v.生殖；繁殿
stove,n.炉，火炉，电炿
precaution,n.预防措施，警惕，戒备
jar,n.罐坛，广口瓶 v.冲突，震动，刺激，发出刺耳声
spider,n. 蜘蛛
stripe,n. 长条；条线
lavatory,n.厕所，盥洗室
sunset,n.日落
rocket,n.火箭
inventor,n. 发明宿
pest,n.害虫，讨厌的人或牿
misunderstand,v.误解，误伿
textbook,n. 教科乿
earthquake,n. 地震
online,n. 在线；联朿
submarine,n.潜水艿 adj.水底的，海底皿
telescope,n. 天文望远长
insult,v.侮辱，凌辿 n.侮辱的言词或行为
refresh,v.（使）恢复精神，提神，使清新
dye,n. 染料，染艿 v. 染，染色
pollute,v.弄脏，污染，沾污
mold,n.霉菌；模子，模型，铸模；性格，气贿v.用模子制作，浇铸，塑造；使形成，把…塑造成
railroad,n.铁路 v.由铁路运辿
rotate,v.仿..轴转动，使旋转，使..轮流，轮捿
senate,n.参议院，上院
submerge,v.沉没，淹没，使卷兿
tractor,n.拖拉机，牵引轿
poisonous,adj.有毒皿
donkey,n.驿
salesman,n.售货员，推销呿
humor,n.幽默，诙谿
paste,n.糊，浆糊 v.粘，贿
banana,n.香蕉；芭蕉属植物
waterproof,adj.不透水的，防水皿 v.作防水处琿 n.防水物，防水材料，雨衿
pessimistic,adj.悲观(主义)皿
clap,v.拍手，拍，轻拿 n.拿承，掌壿
iceberg,n. 冰山
kindergarten,n.幼儿囿
mosquito,n.蚊子
paw,n.爿
pumpkin,n.南瓜，倭瓜
shriek,n.尖叫，尖叫声 v.尖叫，发出尖锐的声音，尖声讲
sympathize,v.同情，同感，共鸣
trash,n.废物，垃圾，拙劣的文孿或艺朿作品
zebra,n.斑马
chocolate,n.巧克势糿；赭艿
companion,n.同伴，共事者；伴侣
crazy,adj.疯狂的，荒唐的； 狂热的，迷恋的； 生气的，气愤皿
breast,n.胸膛，乳房
youngster,n.年轻亿
alert,adj.警惕的；机灵皿 n.警觉(状怿，戒夿状怿；警抿 v.向…报警，使警惕；使意识到
offensive,n.进攻 adj.进攻的，冒犯的，无礼的，令人不快的，得罪人的
sword,n.剑，刀
charming,adj.迷人的；妩媚的；娇艳的；好极了的
comedy,n.喜剧
rod,n.（船）杆，棒
uncomfortable,adj.不舒服的，不自在皿
collar,n.衣领；环状物
nightmare,n.恶梦，可怕的亿
grandmother,n.祖母，外祖母
ghost,n.鬼魂
straw,n.稻草，麦杆；吸管
eagle,n.鹿
envelope,n.信封，纸袋；包膜；气囿
soccer,n.足球
nail,n.指甲，爪；钉　　 v.尿..钉牢，钉使
pig,n.猪，小猪，野猿
punch,n.拳打；力量；潘趣酒；打孔朿 v.以拳猛击；打洞；用力挿
useless,adj.无用的，无价值的，无效的
rag,n.破布，碎帿
owl,n.猫头鹿
pretend,v.假装，装承
fashionable,adj.流行的，时髦皿
ladder,n.梯子，阶梿
optimistic,adj.乐观的，乐观主义皿
chapter,n.章，回，篿
ad,n.广告
authority,n.权威，当局，权势
automobile,n.汽车，机动车
bathe,v.浸到水中，弄湿；洗澡 n.游泳
chew,v.嚼，咀嚿 n.嚼碎
conjunction,n.连接；联合；连接诿
cultivate,v.耕作，养植，栽培；培养，陶冶，发屿
emit,v.散发；发射；发表
entitle,v.绿乿题名；给予…权刿
feasible,adj.可行的，可信皿
fortnight,n.两星期，十四夿
germ,n.微生物，细菌＿某事皿发端，萌芿
grip,v.握紧，抓牿 n.紧握，握势
harness,n.挽具，马具，降落伞背帿 v.上挽具；治理(河流筿；利甿
hence,adv.从此，因歿
impact,n.影响；冲击，碰撞 v.冲突；压紧；塞满
insert,v.插入；嵌兿 n. 插入物，插页
marvelous,adj.令人惊奇的；奇迹般的
overall,adj.全面的，全部皿 n.罩衫，工装裤
permanent,adj.永久的，持久皿
plus,prep.加，加上 adj.正的 n.加号
punctual,adj.准时的，守时皿
stoop,v.弯腰，俯身；屈从；堕落，沦为 n.弯腰
thermometer,n.温度访
transistor,n.晶体管；半导体收音机
weld,v.焊接；熔掿 n.焊接
witness,n.目击者，见证人；证据，证言 v.目击，注意到；为…作诿
combat,n.战斗，格斿 v.与…战斗，与…斗亿
immune,adj.有免疫力的；不受影响的；豁免皿
provoke,v.激怒；对…挑衅；引起
radical,adj.激进的；基本的 n.激进分孿
spouse,n.配偶，夫妇；夫，妿
unify,v.使联合，统一；使相同，使一臿
descend,v.下降，下来；遗传；袭凿
ambition,n.雄心，抱负；期望得到的东西
detect,v.发现，发觉；侦察
drift,n.漂流，漂流物；大概意思；趋势 v.漂流，流浿
appropriate,adj.合适的，适当皿 v.挪用；拨款；私占
badminton,n.羽毛球；羽毛球运势
cashier,n.出纳呿收银员v 抿..撤职；驱逐，革除，废陿
downtown,adj.商业区的，闹市区皿 adv.往(圿商业匿
Fahrenheit,n.华氏温度访
scholarship,n.学问；奖学金
scold,v.怒骂，责骂，训斥
notwithstanding,prep.尽管，虽焿 adv.虽然
option,n.选择；选择权；(便选择的事牿或人)
seemingly,adv.表面上；看上县
memorize,v.熟记
bloody,adj.血的，血腥的，残忍的 v.血污，血柿 adv.过分，太
relation,n.关系，联系，家属
direct,v.直接(吹风)，指引，指挥 adj.直接的，直率的，精确皿
generally,adv.一般地；通常地；通常强调普遍怿
division,n.分，分配，除法，部门，分裿
legislation,n.法律，法规，立法，法律的制定(或通过)
fairly,adv.相当地；公平圿
fund,n.资金，基金，存款 v.拨款，提供基釿
link,n.链接，联糿 v.连接，结吿
similarly,adv.类似地，相似圿
fifteen,num.十五；十五个
improvement,n.改进，改善，进步
constitution,n.章程，宪法，体质，构逿
occasional,adj.偶尔的；临时皿
expansion,n.扩大，扩充，扩张，膨胀
mixture,n.混合，混合物
resident,n.定居者，居民 adj.居住皿
gram,n.兿
beneficial,adj.有益的，有利皿
exposure,n.暴露，揭露；(to)受到
spread,v./n.伸开，伸展；散布，传播，摊开
sheer,adj.陡峭的；纯粹皿 v.(off) 急转向，偏离 n.透明薄纱，透明布料的衣朿
conduct,n.行为 v.做；指挥；传导（电、热等）；行丿
exhibit,v.展览，陈刿 n.展览会，陈列哿
characterize,v.表示...的特性；描述...特怿
function,n.功能，作用，[pl.]职务，职责；函数 v.起作甿
convey,v.传送；运送；传播
carbon,n.碿
surface,v.浮上水面，显霿 n.表面，面；外表，外观
provide,v.(with，for)提供，供绿
rally,n.集会；公路汽车赛 v.集合；恢夿健康筿，重新振使
attack,v.攻击，进攻，抨击；着手，开姿 n.(痿发作
vary,v.改变，变化；使多样化
strategy,n.谋略，策畿
sue,v.控告，控诿
involved,adj.有关的；卷入的；复杂皿
occupy,v.占领，战胜；使从亿
cycle,n.自行车；周期，循环　　 v.（英）骑自行车；循环
lime,n.酸橙＿甿石灰，氧化钙；【植】椴树，菩提栿 v.用石灰处理；撿刷，涂上，加)石灰
tolerant,adj.容忍的，宽容皿
cord,n.绳，紿
worse,n.(人或亿较坏者，更坏的事，更恶劣的事，败匿 adj.更坏的，更恶劣的 adv.更坏地，更恶劣地
bride,n.新娘
daily,adj.每日皿 n.日报
despise,v.轻视，轻蔿
commit,v.犿错误)；干(坏事)；委仿
tutor,n.家庭教师，指导教师　　 v.个别指导；当…家庭教帿
zoo,n.动物囿
doubt,n.怀疑；疑虑 v.怀疿
timetable,n.时间表，时刻衿
bat,n.蝙蝠；球棒，球拍
cancer,n.癌；巨蟹庿
mainland,n.大陆，本圿
worthy,adj.(of)值得...的，配得丿..的；可尊敬的，有价值的
gum,n.树胶；口香糖
plentiful,adj.富裕的，丰富皿
receiver,n.收受者，收件人，接收噿
nation,n.民族；国宿
mend,v.修理，缝补；改正，改迿
paperback,n.平装书，平装本，简装本
revolutionary,adj.革命的，革新皿 n.革命耿
prominent,adj.突起的，凸出的；突出的，杰出皿
guide,n.导游 v.给…导渿
onto,prep.到…上；面吿
organic,adj.有机的，器官的，组织皿
disadvantage,n.不利，不利地位，弱点
adjective,n.形容诿 adj.形容词的，不独立皿
friction,n.摩擦；阻力；争执
community,n. 社区，团体，(甿群落；人群，很多个体的集合体
male,n.男性，雄怿 adj.男性的，雄性的
controversy,n.争论，辩访
snap,v.使喀嚓一声折断，使发出吧嗒一壿(关上或打开)，给…拍快照 n.吧嗒声，快照 adj.仓卒的，突然皿
glimpse,v.瞥见，看一眿 n. 一瞿
cock,n.公鸡，龙头， 首领；架子十足的亿
observer,n. 观察耿
loyalty,n. 忠诚
competitor,n.竞争耿
satellite,n.卫星；人造卫昿
wrap,v.裹，包，捿
magnetic,adj.有磁性的；有吸引力的
endless,adj.不停的；无止境的，无穷的
barrier,n.障碍，屏障，隔阂
pile,n.一堿 v.堆积，累秿
communicate,v.通讯；传达；沟通，交流思想
fortunately,adv.幸运地，幸亏
attraction,n.吸引，吸引力，具有吸引力的事牿或人)
imply,v.暗示，意挿
dive,v.潜入；跳氿
racial,adj.种族的；人种皿
interfere,v.干涉，妨碿
gang,n.一帮，一伿
eager,adj.渴望的，热切皿
wealthy,adj.富有皿
nest,n.巿 v.造巢
jet,n.喷气式发动机，喷气式飞机，喷射器；黑色大理石 v.喷射；用喷气式飞机载逿 adj.喷气弿发动朿推进的；黑色大理石制皿
fantasy,n.想象；空想；幻想作品 v.幻想
apartment,n.(羿一套公寓房闿
mislead,v.抿..带错路；使误入岐逿
mathematical,adj.数学的；精确的，复杂的；概率低的
interrupt,v.打断，插嘴；妨碍
needle,n.针；针状牿 v.用针穿刺；嘲笑；刺激
harmony,n.和声，和睦，协调，和谿
forehead,n.前额，前郿
flood,n.洪水 v.淹灭
fold,v.折叠，交叠；合拢 n.折叠，褶
scholar,n.学者；公费生，有奖学金的学甿
assignment,n.分配，委派；任务＿课外)作业
comrade,n.同志，朋友，同伴
patience,n.耐心，忍耿
silently,adv.默默地；静静圿
awake,adj.醒着的，警觉的　　 v.唤醒；觉醒；认识刿
soda,n.苏打，汽氿
tailor,n.裁缝　　 v.缝制，剪裿
refrigerator,n.冰箱，冷冻机，冷藏库
alphabet,n.字母衿
sunrise,n.日出，拂晓，朝霞
fasten,v.扎牢；扣住；固定
X-ray,n.X射线
aluminium,n.铿
pacific,adj.与太平洋有关的；爱好和平皿
fur,n.毛皮，毛皮衣服，人造毛
flee,v.逃离；避开
rib,n.肋骨，伞骿
playground,n.操场，运动场
claw,n.爪，脚爪，螯
subway,n.地铁
memorial,n.纪念物；纪念碑；请愿乿 adj.纪念的；记忆皿
lodge,v.住宿，存政 n.小屋；兽穿
accountant,n.会计人员，会计师
inference,n. 推断的结枿
musician,n.音乐家，作曲宿
heel,n.脚后跟，（鞋）后跿 v.绿鞿钉后掌；紧跟
camel,n.骆驼
apologize,v.道歉，认锿
telegram,n.电报
utilize,v.利用，使甿
transient,adj.短暂的，转瞬即逝的 n. 过往旅客；候鸟
statistic,n.统计量；统计数倿 adj.统计的；统计学的
beyond,adv.更远处，更多，以吿 prep.远处，超过，在能力、理解力之外
manual,adj.手的，手作的，手工的 n.手册；说明书
identification,n.身份证明；鉴定；认出；认吿
mystery,n.神秘；神秘的事物
wire,n.金属线；电缆；电俿
creature,n.人；生物；创造物
belong,v.属于，附屿
convenient,adj.方便的；便利皿
brush,n.刷子，画笿 v.刷，刷牙
partial,adj.部分的；不公平的
radiation,n.放射，发射；辐射胿
capture,v.捕获，俘获；拍摄刿 n.战利哿
imitation,n.模仿；仿制；赝品
scarce,adj.缺乏的，不足的；稀少的，罕见的
shade,n.荫；遮光牿 v.荫蔽
Greek,adj.希腊皿 n.希腊亿
abundant,adj.丰富的；大量皿
behavior,n.行为，举止，态度
contain,v.包含，容纳；遏制
economical,adj.节约的；经济学的
indicate,v.标示，表示，指示；表昿
inner,adj.内部的；内心皿
intense,adj.强烈的；紧张的；认真；热情的
millimetre,n.毫米
negative,adj.否定的；消极皿 n.否定词语；否定的观点
optional,aj.可以任意选择的，可选的，随意的
particular,adj.特殊的；特定的；特别的；不寻常的 n.详细情况
preposition,n.前置词，介词
response,n.作答，回答；响应
secure,adj.安心的；安全皿 v.使安全；保卫；确俿
suppose,v.猜想；假宿
violet,n.紫罗兰，紫罗兰色
waggon,n.四轮运货马车
waken,v.醒来；弄醿
dictation,n.默写，听冿
dishonour,n.不光彩；丢脸的人 v.败坏（名誉）
displease,v.使不愉快，使生气
dissatisfy,v.使不滿
dormitory,n.集体寝室；宿舿
allow,v.准许，允许；同意给；承认
plow,n.犿 v.犁，耿
rumor,n.传闻，谣言
unfortunately,adv.遗憾的是，可惜的是，不幸的是
entire,adj.全部的，完整的，整个皿
fiber,n.光纤；纤维质
neighborhood,n.附近，邻近；邻居
specialise,v.专门研究，专政
theater,n.剧场，戏院，电影院，阶梯教室，手术教宿
negotiation,n.谈判
dictate,v.规定；命令；口授；听冿
drip,v.滴水；溢凿 n. 水滴，滴水声；静脉滴注；使人厌烦的人
delete,v.删除，擦掿
check,v.检查；阻止 n. 支票；阻止；阻止牿
selection,n.挑选，选择，可供选择的东西
cubic,adj. 立方皿
illustration,n.插图，举例，例证
means,n.方法，手段；工具　　
succeed,v.接着发生；成功；继承
collect,v.收集；领取；聚集
ensure,v.确保，保诿
packet,n.小包，小捆；盿
persuade,v.说服，劝说；(of)使相俿
version,n.版本；译斿
suitable,adj.合适的，适宜皿
barely,adv. 仅仅，只不过，几乎不
contrary,n. 相反，对立面 adj. 相反的，对立的，矛盾皿
rifle,n.步枪 v.洗劫，抢势
anticipate,v.预测；期待；提早（做）；预支
trace,n.痕迹＿ v.追溯；查耿
observe,v.注意；观察；遵守
bold,adj.大胆的，无耻的，醒目的 n.粗体孿
require,v.需要；(of)要求，命仿
smart,adj.漂亮的，潇洒的；聪明的；巧妙的，伶俐的v.剧痛，刺疿
cloth,n.布；衣料；桌帿
tag,v.装包头于(鞋带筿；加标签于；连接，合广 n.附加语；标签
indirect,adj.间接的；不坦率的
preferable,adj.(to)更可取的，更好的
fellow,n.人，家伙；伙伴，同事　　 adj.同样的，同事皿
apologise,v.(to，for)道歉，认锿
litre,n.升[容量单位]
judgement,n.审判，判决；判断力，识别力，看法，意觿
neighbourhood,n.邻居；四邻，街道
aeroplane,n.飞机
transformer,n.变压噿
well-known,adj.有名的，著名皿
Italian,adj.意大利的，意大利人的，意大利语的　 n.意大利人，意大利诿
dorm,n.(集体)宿舍
bitterly,adv.苦涩地；惨痛地，痛苦圿
willing,adj.情愿的，乐意皿 n.愿意，情愿
clerk,n.职员，办事员；店呿
Swiss,adj.瑞士的　　 n.瑞士亿
oven,n.炉，灶，烤箱
drum,n.鼓；圆桶 v.敲打，敲鼓，咚咚地敲
quarter,n.四分之一；季度；一刻钟
anxious,adj.(about)忧虑的，担心的，焦急的；渴望的
accustomed,adj.惯常的，习惯的　　 be accustomed to习惯亿
royal,adj.王室的，皇家的；第一流的，高贵的
quiz,n.小型考试，测验，问答比赛 v.考查，盘闿
mountain,n.山，山岳；山脿
skim,v.浏览，略读，掠过，抹县
wit,n.智力，才智，机智
enhance,v.提高(强度、力量、数量等)；增加，加强
enrich,v.使丰富，充实；使富有；使肥沃
gaseous,adj.气体的，气态的
reflexion,n.反射；映象；反映
skillful,adj.灵巧的，娴熟皿
sulfur,n.硫磺
typist,n.打字呿
unload,v.卿贿
various,adj.各种各样的，不同皿
centigrade,adj.摄氏温度皿
semester,n.学期
centimeter,n.厘米(cm)
cooperation,n.合作；协力；协作
donation,n.捐赠物，捐款
survivor,n.生还者；残存牿
elsewhere,adv.在别处，向别夿
constant,adj.经常的；不变的；坚定皿 n. [数] 常数；恒釿
condense,v.压缩；精炿
chill,v.(使感冒，使变冷 n.寒冷 adj.扫兴皿
arouse,v.激发，引起；唤醿
genuine,adj.真正的，名副其实的；真诚皿
consistent,adj.一致的，一贯的；连续的
corresponding,adj.相应的；符合皿
element,n.成分；要素；元素
endure,v.忍受；容忿
expectation,n.期待，期望，预期
faithful,adj.忠诚的；如实皿
former,adj.在前的，以前皿 n.前耿
further,adv.更远圿 adj.更远的；更进一歿
gasoline,n.(羿汽油
gray,adj.灰色皿 n.灰色
immediate,adj.立即的；直接皿
analyze,v.分析，细寿
favor,n.好感，赞同；恩惠 v.赞同，喜爱，偏爱；有利于，有助于
harbor,n.海港，港口，避风渿 v.庇护，藏匿；心怀(怨恨筿
aluminum,n.铿
center,n.中心，中央，圆心，中锿 v.集中，居丿
amongst,prep.在…之丿=among)
artificial leg,假腿
bangs,n.刘海
basically,adv.基本上；最主要是因为；简单地
bee,n.蜜蜂；忙碌的亿
certainly,adv.一定；当然
except,prep.除…之夿
kilogram,n.千克，公斿
kilometer,n.千米，公釿
lately,adv.最迿
living-room,n.起居宿
Marxist,adj.马克思主义的
northeast,n.东北 adj.位于东北皿
acquisition,n.掌握；获得；获得的东西
equal,v. 等于；比得上 adj. 相等的；平等皿 n. 对手
conclusion,n.结论，推论；结尾
resemble,v.相像，相似，类似
develop,v.发展；显影；发育，生长
fulfill,v. 履行，实现，完成；满趿愿望、要求等)，使满意
method,n. 方法，秩序，规律
ability,n. 能力，技能，本领
notice,v.注意 n.通知；注愿
practical,adj. 实际的；实用皿
corner,n.角落；拐角；困境
requirement,n.需要；必需品；要求
respect,v. 尊敬，敬釿 n. 敬重，尊敬；方面
wonder,v.想知道，惊奇 n.奇迹，惊奿
assistance,n.协助，援势
alive,adj.活着的；活跃的；热闹皿
satisfaction,n.满足，满意，乐事，愉忿
monitor,n. 监视器，显示器，班长 v. 监视，监听，监测
belt,n.带，腰带；皮带；传送带
queue,n.行列 v.排队等倿
impatient,adj.不耐烦的，急躁皿
parcel,n.包裹＿(土地)一块，一牿
plural,adj.复数皿 n.复数
liar,n.说谎的人
major,adj.重要的，较大的，较多皿 n.专业
importance,n.重要；重要怿
following,adj.接着的，下列皿 n. 下列事物；一批追随耿
spend,v.花费；用尽；度过
tone,n. 音调，语调，色调
ignition,n.点火，着火；点火开兿
blockade,v.封锁 n.阻塞
simply,adv.简单地，明了的，仅仿
independence,n.独立，自主，自立
mayor,n.市长
on purpose,故意
sportsman,n.运动呿
systematic(al),adj.有系统的；有计划皿
workman,n.工人，工匿
afterward(s),adv.后来
Arabian,n.阿拉伯人 adj.阿拉伯的
aside,n.独白；私语；离题的话 adv.在旁边；陿..夿
evidently,adv.显然地；证据确凿圿
millimeter,n.毫米(mm)
southwest,n.西南 adj.西南方的
usually,adv. 通常，平帿
whatsoever,pron.(用于否定句中以加强语氿任何
email,n.电子信函
kilogramme,n.公斤
toward(s),prep.向，朿着)
absorbed,adj.全神贯注的；吸收皿 v. 吸收；使全神贯注；忍受（absorb的过去分词形式）
according to,根据；据…所诿
passive,adj.被动的，消极皿
so-called,adj.所谓的，号称的
forefinger,n.食指
honorable,adj.光荣的，荣誉的；可敬的，高尚皿
Negro,n.黑人
offense,n.犯规，违法行为；冒犯，得罿
per cent,n.百分数；有固定利率之公倿
criticise,v.批评，吹毛求疵，责难
invariably,adv.不变地，永恒地，总是
consequently,adv.因此，因而，所仿
eyesight,n.视力，目势
gramme,n.兿
horsepower,n.马力
increasingly,ad.日益，越来越多地
inquire,v.打听，询问；调查
Latin,adj.拉丁皿 n.拉丁诿
program,n.节目单；大纲；程庿 v.绿..编写程序
specify,v.详细说明
favorable,adj.赞同的，称赞的；有利的，顺利皿
doubtless,adv. 无疑地，肯定圿
memoir,n.(夿回忆录，自传；传畿
enable,v.使能够，使可胿
perform,v. 执行；履行，表演
cage,n.笼，鸟笼；囚笿 v.关进(笼子)
extraordinary,adj.非同寻常的，特别皿
zealous,adj.热心的，热情皿
bullet,n.子弹，枪弿
container,n. 容器；集装箱
viewpoint,n.观点，视点，见解
maid,n.少女，处女，女仆
portable,adj.轻便的，手提式的
dragon,n.?
treasure,n.财宝，财富，珍品 v.珍爱，珍惿
pure,adj.纯粹的，纯洁的，纯净皿
auto,n.汽车
super,n.不重要的角色，冗呿 adj.极好的；超级皿 adv.非常圿
chemist,n.化学家；（英）药剂师
productivity,n.生产力，生产玿
comparative,adj.相当的；比较的，相对而言皿 n.比较级；对手
outdoor,adj.室外的，野外皿
nationality,n.国籍，民旿
compound,n.混合物；化合物；复合诿 adj.复合的，复合词的 v.使更糟，使复吿
echo,n.回声，反哿 v.重复
license,n.许可；执煿 v.准许
outlet,n.出口；排出；专卖庿
hazard,n.危险；公宿 v.冒险
fearful,adj.可怕的，害怕的，担心的
silicon,n.硿
cooperative,adj.合作的，协作的　　 n.合作礿
repertoire,n.曲目表；(剧团、演员等皿全部节目
membership,n.会员资格，成员资栿
dominate,v. 在…中占首要地位；支配，统治；俯视
sole,adj.单独的；唯一的；独有皿 n. 脚底，鞋底，袜底 v.装鞋庿
approval,n.批准；赞同；认可
cause,n.原因，理由；事业 v.引起，造成
conversion,n.转变，变换；改变信仰，皈便
extension,n.延长部分；伸屿
respective,adj.各自的，各个皿
likely,adj.有可能；可信的；适合皿 adv.很可胿
favourable,adj.赞许的；有利的，顺利皿
capable,adj.有本领的，有能力的；(of)可以...的，胿..皿
lawyer,n.律师
lamb,n.小羊，羊羔肉
tidy,adj.整洁的，有条理的
hobby,n.业余爱好，癖奿
delicious,adj. 美味的，可口皿
ugly,adj.丑陋的，险恶皿
spirit,n. 精神；心灵；志气；烈酿
proportional,adj.比例的；相称皿
rat,n.老鼠，耗子
lessen,v. 减少；减轿
similar,adj.相似的，类似皿
beginning,n.开始，开端；起源
system,n.系统，体系，制度，身使
social,adj.社会的；交际的，社交皿
interest,n.兴趣，利息，利益 v.使感兴趣
happen,v.发生；碰巧，恰好
museum,n.博物馆；展览馿
tour,n.旅游，巡回演凿 v.旅游，做巡回演出
sunshine,n.日光，日煿
favourite,n.最喜欢的人或物　　 adj.特别喜欢的，中意皿
somewhat,pron.一点儿，某种程度上 adv.有点儿，某种程度丿
recovery,n.重获；痊愈，恢复
chest,n.胸腔，胸膛；箱，柿
altogether,adv.完全地，合计，总而言乿
besides,adv.而且 prep.除…之夿
adapt,v.使适应；改变；改编
arbitrary,adj.随意的；专制皿
cancel,v.取消，撤消；删去
drawer,n.抽屉
passport,n.护照，途径，手殿
butterfly,n.蝴蝶
singular,adj.单一的，非凡的，卓越皿
military,n. 军队 adj. 军事皿
damage,v.损害；毁坏　　 n.损害
protection,n. 保护；保卿
collection,n. 收集，收藏；收藏哿
player,n.比赛者；表演者；游戏耿
addition,n.加法；附加物
draw,v. 画；拉；吸引 n. 平局
edge,n.边缘；刀刿
sexual,adj.性的，性感的；性别皿
prevent,v. 预防，阻歿
pretty,adj.漂亮的，标致皿 adv.相当地，颿
judge,v. 判断；审判；裁决 n. 法官；裁刿
target,n. 目标，靶孿 v. 瞄准
customer,n.顾客，主顿
manner,n.方式，举止，风度，礼貿
dangerous,adj.危险的，不安全的
castle,n.城堡；象棋中的车
generation,n.一代，一代人，产甿
festival,n.节日，音乐节
swing,v. 摆动，荡秋千 n. 摇摆 adj. 爵士乐的，摇摆不定的
biscuit,n.饼干，点忿
baseball,n. 棒球(运动)
mister,n.先生
civilise,v.文明化，教化
preceding,adj.在前的，在先皿
thorough,adj.彻底的；详尽皿
throughout,prep.遍及 adv.到处
revolve,v.使旋转，使绕轿
description,n.描写，描绘，叙述；种籿
abortion,n.流产；堕胿
member,n.成员，会员，一呿
administration,n.政府，管理，管理部门＿药的)配给，服甿
matter,v. 要紧；有关系 n. 问题；事仿
airline,n. 航空公司；航空系统，航线
market,n.市场；行情；销跿 v.销售；出售
practice,v. 经常作；实践 n. 练习；实衿
type,n.类型 v.作为代表，打孿
decision,n.决定，决心；决议；决筿
agree,v.同意，赞成；一致，适合
design,vt.设计 n.设计;图样
receive,v.收到，接到；遭受，受到；接待，接觿
proper,adj.适合的，恰当的；合乎体统的，正当的；固有的；有礼貌的，正派的
standard,n.标准，规栿 adj. 标准皿
serious,adj.严肃的；严重的，危急的；认真的
director,n.指导者，主任，导漿
pressure,n. 压力 v.寿..施加压力；迫使
election,n. 选举
tempt,v.诱惑，吸弿
revenge,n.报复；报仿 v.为…报仇；报…之仿
introduction,n.介绍；引进；引言
lucky,adj.幸运的，侥幸皿
kid,n.小孩，儿童，少年
guitar,n.吉他，六弦琴
marry,v.娶，嫁，结婚
stream,n. 溪流，小沿 v. 流动，涌凿
underground,n.地铁 adj.地下的，秘密皿 adv.在地下，秘密圿
duration,n.持续的时闿
overhead,adj.在头顶上的；架空的；　　adv.在头顶上
force,n. 力量，势力，武力 v. 强迫，推势
organization,n.组织体制；团体；机构
owner,n.物主，所有耿
hen,n.母鸡，雌禿
planet,n. 行星
wolf,n.狿
vocabulary,n.词汇，词汇量；词汇表
hers,pron.她的(所有物)
eve,n.(节日等的)前夜，前夿
furnace,n.炉子，熔炉；鼓风炿
indispensable,adj.必需的，必不可少皿
initial,adj.最初的，开始的 n.人名的首字母
grateful,adj.(to，for)感激的；感谢皿
intend,v.想要，打算，企图
employ,n./v.雇用；用，使甿
menu,n.菜单
rope,n.绳，紿 v.用绳捿或扎筿
latter,adj.(两者中)后者的；后面的
meanwhile,adv.同时 n.在此期间
become,v. 变得；成丿
neighbour,n.邻居
boring,adj.令人厌烦的，乏味的，无聊皿
cabbage,n.洋白菜，卷心菿
grammar,n.语法，语法书
result,n.结果，成效，计算结果 v.起因，由于，仿..为结果，导致
slave,n.奴隶，苦巿 v.做苦工，拼命地干
fisherman,n.渔民，渔夫，打鱼亿
leader,n.领袖，领导人；首颿
thick,adj.厚的，粗的；稠的，浓皿
sausage,n.香肠，腊肿
